model,language,question_id,topic_cluster,n_samples,jsd,ci_lower,ci_upper
earth,bengali,Q152,inglehart,50,0.6288,0.6288,0.6288
earth,bengali,Q153,inglehart,50,0.6788,0.6788,0.6788
earth,bengali,Q154,inglehart,50,0.3206,0.2912,0.3727
earth,bengali,Q155,inglehart,50,0.3522,0.3522,0.3522
earth,bengali,Q156,inglehart,50,0.6863,0.6863,0.6863
earth,bengali,Q157,inglehart,50,0.5989,0.5989,0.5989
earth,bengali,Q164,religion_morality,50,0.6459,0.6347,0.6724
earth,bengali,Q209,inglehart,50,0.3153,0.2229,0.4163
earth,bengali,Q254,inglehart,50,0.4568,0.4568,0.4568
earth,bengali,Q45,family_authority,50,0.6502,0.608,0.7168
earth,bengali,Q46,inglehart,50,0.4049,0.4049,0.4049
earth,bengali,Q49,inglehart,50,0.4792,0.4736,0.5005
earth,bengali,Q57,inglehart,50,0.0367,0.0367,0.0367
earth,hindi,Q152,inglehart,50,0.2596,0.2289,0.31
earth,hindi,Q153,inglehart,50,0.5271,0.5271,0.5271
earth,hindi,Q154,inglehart,50,0.4764,0.398,0.5818
earth,hindi,Q155,inglehart,50,0.434,0.434,0.434
earth,hindi,Q156,inglehart,50,0.6142,0.6142,0.6142
earth,hindi,Q157,inglehart,50,0.5032,0.5032,0.5032
earth,hindi,Q164,religion_morality,50,0.6037,0.5872,0.6547
earth,hindi,Q209,inglehart,50,0.5774,0.5774,0.5774
earth,hindi,Q254,inglehart,50,0.0557,0.0201,0.1065
earth,hindi,Q45,family_authority,50,0.3886,0.3162,0.4791
earth,hindi,Q46,inglehart,50,0.3456,0.3456,0.3456
earth,hindi,Q49,inglehart,50,0.5137,0.4864,0.5571
earth,hindi,Q57,inglehart,50,0.1098,0.1098,0.1098
earth,marathi,Q152,inglehart,50,0.6954,0.6954,0.6954
earth,marathi,Q153,inglehart,50,0.5958,0.5958,0.5958
earth,marathi,Q154,inglehart,50,0.5137,0.5024,0.5334
earth,marathi,Q155,inglehart,50,0.3411,0.2881,0.4232
earth,marathi,Q156,inglehart,50,0.4836,0.4836,0.4836
earth,marathi,Q157,inglehart,50,0.3719,0.3719,0.3719
earth,marathi,Q164,religion_morality,50,0.6255,0.6246,0.6359
earth,marathi,Q209,inglehart,50,0.2502,0.215,0.3087
earth,marathi,Q254,inglehart,50,0.1637,0.0899,0.2616
earth,marathi,Q45,family_authority,50,0.2244,0.1674,0.3018
earth,marathi,Q46,inglehart,50,0.2673,0.2673,0.2673
earth,marathi,Q49,inglehart,50,0.6463,0.6021,0.7075
earth,marathi,Q57,inglehart,50,0.1146,0.1146,0.1146
earth,punjabi,Q152,inglehart,50,0.6741,0.6741,0.6741
earth,punjabi,Q153,inglehart,50,0.515,0.515,0.515
earth,punjabi,Q154,inglehart,50,0.1616,0.1616,0.1782
earth,punjabi,Q155,inglehart,50,0.3539,0.3539,0.3539
earth,punjabi,Q156,inglehart,50,0.7138,0.7138,0.7138
earth,punjabi,Q157,inglehart,50,0.7365,0.7365,0.7365
earth,punjabi,Q164,religion_morality,50,0.413,0.3969,0.4572
earth,punjabi,Q209,inglehart,50,0.8094,0.8094,0.8094
earth,punjabi,Q254,inglehart,50,0.1033,0.0996,0.1316
earth,punjabi,Q45,family_authority,50,0.074,0.024,0.1498
earth,punjabi,Q46,inglehart,50,0.5534,0.5534,0.5534
earth,punjabi,Q49,inglehart,50,0.6196,0.6066,0.6456
earth,punjabi,Q57,inglehart,50,0.0888,0.0888,0.0888
earth,telugu,Q152,inglehart,50,0.387,0.3751,0.4158
earth,telugu,Q153,inglehart,50,0.607,0.607,0.607
earth,telugu,Q154,inglehart,50,0.3031,0.2606,0.3726
earth,telugu,Q155,inglehart,50,0.2468,0.209,0.3067
earth,telugu,Q156,inglehart,50,0.4886,0.4886,0.4886
earth,telugu,Q157,inglehart,50,0.5188,0.5188,0.5188
earth,telugu,Q164,religion_morality,50,0.581,0.5765,0.5983
earth,telugu,Q209,inglehart,50,0.2593,0.2122,0.3249
earth,telugu,Q254,inglehart,50,0.0984,0.0437,0.1768
earth,telugu,Q45,family_authority,50,0.0998,0.096,0.127
earth,telugu,Q46,inglehart,50,0.3156,0.3156,0.3156
earth,telugu,Q49,inglehart,50,0.4439,0.4139,0.4993
earth,telugu,Q57,inglehart,50,0.0832,0.0832,0.0832
fire,bengali,Q152,inglehart,50,0.6288,0.6288,0.6288
fire,bengali,Q153,inglehart,50,0.6788,0.6788,0.6788
fire,bengali,Q154,inglehart,50,0.3237,0.2934,0.3743
fire,bengali,Q155,inglehart,50,0.3522,0.3522,0.3522
fire,bengali,Q156,inglehart,50,0.6863,0.6863,0.6863
fire,bengali,Q157,inglehart,50,0.5989,0.5989,0.5989
fire,bengali,Q164,religion_morality,50,0.7008,0.6921,0.7182
fire,bengali,Q209,inglehart,50,0.142,0.1039,0.2004
fire,bengali,Q254,inglehart,50,0.4568,0.4568,0.4568
fire,bengali,Q45,family_authority,50,0.837,0.837,0.837
fire,bengali,Q46,inglehart,50,0.4049,0.4049,0.4049
fire,bengali,Q49,inglehart,50,0.491,0.4759,0.5317
fire,bengali,Q57,inglehart,50,0.0367,0.0367,0.0367
fire,hindi,Q152,inglehart,50,0.2222,0.2203,0.2398
fire,hindi,Q153,inglehart,50,0.5271,0.5271,0.5271
fire,hindi,Q154,inglehart,50,0.334,0.2878,0.4078
fire,hindi,Q155,inglehart,50,0.434,0.434,0.434
fire,hindi,Q156,inglehart,50,0.6142,0.6142,0.6142
fire,hindi,Q157,inglehart,50,0.5032,0.5032,0.5032
fire,hindi,Q164,religion_morality,50,0.5809,0.5786,0.5944
fire,hindi,Q209,inglehart,50,0.2393,0.2002,0.307
fire,hindi,Q254,inglehart,50,0.0235,0.0128,0.0629
fire,hindi,Q45,family_authority,50,0.6582,0.6582,0.6582
fire,hindi,Q46,inglehart,50,0.3456,0.3456,0.3456
fire,hindi,Q49,inglehart,50,0.546,0.5078,0.6048
fire,hindi,Q57,inglehart,50,0.1098,0.1098,0.1098
fire,marathi,Q152,inglehart,50,0.6954,0.6954,0.6954
fire,marathi,Q153,inglehart,50,0.5958,0.5958,0.5958
fire,marathi,Q154,inglehart,50,0.5165,0.5036,0.5375
fire,marathi,Q155,inglehart,50,0.3118,0.2634,0.3773
fire,marathi,Q156,inglehart,50,0.4836,0.4836,0.4836
fire,marathi,Q157,inglehart,50,0.3719,0.3719,0.3719
fire,marathi,Q164,religion_morality,50,0.6513,0.6348,0.6884
fire,marathi,Q209,inglehart,50,0.2064,0.2014,0.2325
fire,marathi,Q254,inglehart,50,0.1761,0.1088,0.278
fire,marathi,Q45,family_authority,50,0.2722,0.2051,0.3783
fire,marathi,Q46,inglehart,50,0.2673,0.2673,0.2673
fire,marathi,Q49,inglehart,50,0.6622,0.6111,0.7517
fire,marathi,Q57,inglehart,50,0.1146,0.1146,0.1146
fire,punjabi,Q152,inglehart,50,0.6741,0.6741,0.6741
fire,punjabi,Q153,inglehart,50,0.515,0.515,0.515
fire,punjabi,Q154,inglehart,50,0.1656,0.1616,0.1882
fire,punjabi,Q155,inglehart,50,0.3539,0.3539,0.3539
fire,punjabi,Q156,inglehart,50,0.7138,0.7138,0.7138
fire,punjabi,Q157,inglehart,50,0.7365,0.7365,0.7365
fire,punjabi,Q164,religion_morality,50,0.4819,0.4696,0.5166
fire,punjabi,Q209,inglehart,50,0.8094,0.8094,0.8094
fire,punjabi,Q254,inglehart,50,0.0997,0.0996,0.1203
fire,punjabi,Q45,family_authority,50,0.2881,0.2241,0.3752
fire,punjabi,Q46,inglehart,50,0.5534,0.5534,0.5534
fire,punjabi,Q49,inglehart,50,0.6167,0.6042,0.6399
fire,punjabi,Q57,inglehart,50,0.0888,0.0888,0.0888
fire,telugu,Q152,inglehart,50,0.3757,0.3747,0.39
fire,telugu,Q153,inglehart,50,0.607,0.607,0.607
fire,telugu,Q154,inglehart,50,0.2654,0.2394,0.3158
fire,telugu,Q155,inglehart,50,0.4516,0.4516,0.4516
fire,telugu,Q156,inglehart,50,0.4886,0.4886,0.4886
fire,telugu,Q157,inglehart,50,0.5188,0.5188,0.5188
fire,telugu,Q164,religion_morality,50,0.5865,0.5779,0.6104
fire,telugu,Q209,inglehart,50,0.2684,0.2231,0.3391
fire,telugu,Q254,inglehart,50,0.0642,0.0236,0.1292
fire,telugu,Q45,family_authority,50,0.1333,0.1048,0.1871
fire,telugu,Q46,inglehart,50,0.3156,0.3156,0.3156
fire,telugu,Q49,inglehart,50,0.4376,0.4104,0.4873
fire,telugu,Q57,inglehart,50,0.0832,0.0832,0.0832
global,bengali,Q152,inglehart,50,0.6288,0.6288,0.6288
global,bengali,Q153,inglehart,50,0.6788,0.6788,0.6788
global,bengali,Q154,inglehart,50,0.3237,0.2936,0.3743
global,bengali,Q155,inglehart,50,0.1172,0.1166,0.1412
global,bengali,Q156,inglehart,50,0.4814,0.4813,0.4896
global,bengali,Q157,inglehart,50,0.3763,0.3741,0.3949
global,bengali,Q164,religion_morality,50,0.6444,0.6011,0.7069
global,bengali,Q209,inglehart,50,0.2115,0.1508,0.3006
global,bengali,Q254,inglehart,50,0.1594,0.0844,0.2567
global,bengali,Q45,family_authority,50,0.5642,0.5404,0.6012
global,bengali,Q46,inglehart,48,0.1374,0.0862,0.2385
global,bengali,Q49,inglehart,47,0.4104,0.3683,0.496
global,bengali,Q57,inglehart,50,0.1645,0.0852,0.2655
global,hindi,Q152,inglehart,50,0.385,0.319,0.4807
global,hindi,Q153,inglehart,50,0.5271,0.5271,0.5271
global,hindi,Q154,inglehart,50,0.218,0.1373,0.3481
global,hindi,Q155,inglehart,50,0.309,0.3076,0.3242
global,hindi,Q156,inglehart,50,0.2095,0.1796,0.2694
global,hindi,Q157,inglehart,50,0.2898,0.2898,0.3053
global,hindi,Q164,religion_morality,50,0.5108,0.4845,0.5572
global,hindi,Q209,inglehart,50,0.1933,0.1836,0.2256
global,hindi,Q254,inglehart,50,0.2082,0.1223,0.3249
global,hindi,Q45,family_authority,50,0.4294,0.3736,0.5156
global,hindi,Q46,inglehart,50,0.2872,0.2513,0.3446
global,hindi,Q49,inglehart,50,0.4044,0.3769,0.4599
global,hindi,Q57,inglehart,50,0.1468,0.0714,0.2557
global,marathi,Q152,inglehart,50,0.4741,0.4103,0.5744
global,marathi,Q153,inglehart,50,0.5958,0.5958,0.5958
global,marathi,Q154,inglehart,50,0.3892,0.356,0.4479
global,marathi,Q155,inglehart,50,0.1918,0.1568,0.2591
global,marathi,Q156,inglehart,50,0.1851,0.118,0.2785
global,marathi,Q157,inglehart,50,0.1724,0.1678,0.199
global,marathi,Q164,religion_morality,50,0.6043,0.5688,0.6652
global,marathi,Q209,inglehart,50,0.2325,0.2064,0.2803
global,marathi,Q254,inglehart,50,0.3118,0.2119,0.4257
global,marathi,Q45,family_authority,50,0.1827,0.107,0.2889
global,marathi,Q46,inglehart,48,0.2482,0.1695,0.3522
global,marathi,Q49,inglehart,50,0.5744,0.5483,0.6213
global,marathi,Q57,inglehart,50,0.0671,0.0198,0.1411
global,punjabi,Q152,inglehart,50,0.3073,0.2268,0.4206
global,punjabi,Q153,inglehart,50,0.515,0.515,0.515
global,punjabi,Q154,inglehart,50,0.1458,0.1258,0.192
global,punjabi,Q155,inglehart,50,0.0719,0.0719,0.0994
global,punjabi,Q156,inglehart,50,0.2505,0.2035,0.3262
global,punjabi,Q157,inglehart,50,0.3818,0.3615,0.4188
global,punjabi,Q164,religion_morality,50,0.4572,0.4309,0.5075
global,punjabi,Q209,inglehart,50,0.3795,0.2976,0.4731
global,punjabi,Q254,inglehart,50,0.0271,0.0074,0.0798
global,punjabi,Q45,family_authority,50,0.1149,0.0525,0.2102
global,punjabi,Q46,inglehart,49,0.4303,0.3419,0.5142
global,punjabi,Q49,inglehart,50,0.5294,0.5146,0.5706
global,punjabi,Q57,inglehart,50,0.1375,0.0655,0.2215
global,telugu,Q152,inglehart,50,0.39,0.3757,0.4215
global,telugu,Q153,inglehart,50,0.607,0.607,0.607
global,telugu,Q154,inglehart,50,0.293,0.2547,0.3621
global,telugu,Q155,inglehart,50,0.1491,0.1186,0.2099
global,telugu,Q156,inglehart,50,0.1286,0.1198,0.1722
global,telugu,Q157,inglehart,50,0.2685,0.2663,0.2893
global,telugu,Q164,religion_morality,50,0.5094,0.4802,0.556
global,telugu,Q209,inglehart,50,0.196,0.1853,0.2293
global,telugu,Q254,inglehart,50,0.2574,0.1683,0.3757
global,telugu,Q45,family_authority,50,0.0309,0.0071,0.0921
global,telugu,Q46,inglehart,50,0.2337,0.152,0.3535
global,telugu,Q49,inglehart,50,0.3474,0.3146,0.4116
global,telugu,Q57,inglehart,50,0.1582,0.0804,0.2657
